MAE Nivel 1 método final,MRE Nivel 1 Método final,MAE Nivel 1 método experimental,MRE Nivel 1 Método experimental,MAE Nivel 1 método integral,MRE Nivel 1 Método integral,MAE Nivel 1 método picos,MRE Nivel 1 Método picos,MAE Nivel 2 método final,MRE Nivel 2 Método final,MAE Nivel 2 método experimental,MRE Nivel 2 Método experimental,MAE Nivel 2 método integral,MRE Nivel 2 Método integral,MAE Nivel 2 método picos,MRE Nivel 2 Método picos,MAE Nivel 3 método final,MRE Nivel 3 Método final,MAE Nivel 3 método experimental,MRE Nivel 3 Método experimental,MAE Nivel 3 método integral,MRE Nivel 3 Método integral,MAE Nivel 3 método picos,MRE Nivel 3 Método picos,MAE Nivel 4 método final,MRE Nivel 4 Método final,MAE Nivel 4 método experimental,MRE Nivel 4 Método experimental,MAE Nivel 4 método integral,MRE Nivel 4 Método integral,MAE Nivel 4 método picos,MRE Nivel 4 Método picos,MAE total método final,MRE total Método final,MAE total método experimental,MRE total Método experimental,MAE total método integral,MRE total Método integral,MAE total método picos,MRE total Método picos
0.19,9.52,0.19,9.52,0.19,9.52,0.86,61.11,1.03,20.71,0.83,14.77,0.77,14.03,1.67,33.91,3.85,22.3,4.0,23.72,1.74,10.92,4.0,23.72,3.05,10.61,3.05,10.61,3.45,11.07,3.05,10.61,2.18,16.94,2.17,15.73,1.51,11.55,2.53,31.22
0.31,10.42,0.19,6.25,0.19,6.25,0.56,39.58,0.88,16.45,1.1,17.12,0.97,15.73,1.35,22.84,2.77,16.39,2.73,16.33,2.1,14.57,2.67,15.69,4.43,15.71,4.43,15.71,3.48,11.03,4.43,15.71,2.02,15.39,2.07,15.0,1.66,13.06,2.21,21.94
0.14,10.61,0.18,12.12,0.18,12.12,1.05,71.97,1.33,26.84,1.23,21.83,1.17,21.0,1.73,33.92,3.12,18.41,3.48,21.85,2.42,15.45,3.24,19.42,2.68,9.89,2.68,9.89,2.18,7.95,2.68,9.89,1.92,17.42,2.01,17.38,1.56,14.78,2.25,32.33
0.47,20.18,0.37,16.67,0.37,16.67,0.95,65.79,1.13,21.93,1.13,18.93,1.06,18.21,1.61,29.37,3.36,18.94,3.47,20.01,1.78,11.2,3.47,20.01,3.38,12.31,3.38,12.31,2.43,8.46,3.38,12.31,2.21,18.72,2.22,17.59,1.45,13.66,2.47,29.34
0.39,18.12,0.35,16.67,0.35,16.67,0.83,57.25,1.31,23.29,0.86,14.46,0.86,14.46,1.62,28.99,3.66,18.5,3.97,21.49,1.86,12.28,3.74,19.2,3.25,11.76,3.25,11.76,2.65,9.07,3.25,11.76,2.24,18.45,2.21,16.73,1.41,13.21,2.45,28.64
0.16,8.67,0.16,8.67,0.16,8.67,0.92,75.33,1.3,23.15,1.37,23.23,1.11,19.86,1.96,36.02,3.85,20.43,3.85,20.43,1.76,9.53,3.85,20.43,2.55,8.8,2.55,8.8,4.18,13.37,2.55,8.8,2.07,15.98,2.09,16.0,1.72,12.72,2.42,34.8
0.15,6.17,0.15,6.17,0.15,6.17,0.74,57.41,1.46,29.89,0.78,14.3,0.76,13.96,1.27,25.25,2.52,13.91,2.52,14.17,1.84,11.1,2.52,14.17,2.61,9.32,2.61,9.32,3.0,9.78,2.61,9.32,1.57,16.71,1.34,11.38,1.23,10.62,1.65,28.09
0.22,14.81,0.22,14.81,0.22,14.81,1.48,91.98,0.97,19.03,1.0,16.38,0.94,15.74,1.43,26.39,4.3,24.83,4.37,25.75,1.33,8.69,4.48,26.83,3.39,11.55,3.39,11.55,4.56,14.24,3.39,11.55,2.03,18.17,2.06,17.54,1.47,13.48,2.54,40.55
0.31,15.52,0.31,15.52,0.31,15.52,0.62,35.06,1.25,22.89,1.15,18.4,0.75,13.96,1.8,31.73,2.71,15.0,2.54,13.4,1.64,9.48,2.54,13.4,2.77,9.82,2.77,9.82,3.13,9.96,2.77,9.82,1.8,15.16,1.74,13.91,1.53,12.09,1.94,21.69
0.24,7.94,0.19,6.35,0.19,6.35,0.62,34.92,1.03,19.57,0.94,16.41,0.94,16.41,1.61,30.17,3.68,20.66,3.79,21.72,2.0,11.15,3.79,21.72,2.1,7.6,2.1,7.6,2.62,8.79,2.1,7.6,1.93,15.28,1.93,14.39,1.46,11.27,2.21,23.99
0.33,13.89,0.3,12.78,0.3,12.78,0.6,44.44,1.39,24.82,1.23,20.44,0.97,17.16,2.06,38.05,4.22,23.02,4.33,23.85,1.74,9.74,4.33,23.85,1.89,6.67,1.89,6.67,2.42,8.01,1.89,6.67,1.9,18.08,1.87,16.71,1.23,12.43,2.2,30.69
0.33,11.73,0.26,9.26,0.26,9.26,1.33,82.72,1.26,24.44,1.26,20.1,1.0,17.03,2.26,40.89,3.91,22.53,3.7,20.99,1.96,10.99,3.7,20.99,3.04,10.7,3.04,10.7,3.09,9.81,3.04,10.7,1.98,17.87,1.92,15.54,1.47,12.22,2.5,40.68
0.21,9.72,0.17,8.33,0.17,8.33,0.88,68.75,1.28,24.42,1.47,24.33,1.25,21.73,1.91,34.12,2.28,12.51,2.21,12.78,2.21,14.18,2.14,12.09,3.86,13.29,3.86,13.29,3.14,10.25,3.86,13.29,1.84,15.61,1.87,15.34,1.65,14.32,2.14,31.63
0.23,12.78,0.2,11.67,0.2,11.67,0.8,63.89,1.16,22.99,0.78,14.46,0.69,13.34,1.47,28.5,4.12,22.55,4.42,25.3,2.33,14.14,4.38,24.88,3.52,12.58,3.52,12.58,3.05,10.09,3.52,12.58,2.03,17.99,1.97,15.74,1.38,12.41,2.34,34.49
0.26,13.58,0.22,12.35,0.22,12.35,0.89,61.11,0.8,15.71,0.9,15.11,0.83,14.37,1.1,21.0,3.23,18.44,3.35,19.65,1.85,11.96,3.15,17.72,3.5,11.87,3.5,11.87,2.96,9.35,3.5,11.87,1.86,14.97,1.91,14.79,1.4,12.15,2.08,28.28
0.33,18.52,0.3,16.67,0.3,16.67,0.96,66.05,1.56,25.8,1.52,22.45,1.11,17.93,2.52,41.44,4.77,25.53,4.96,27.26,1.65,10.52,5.0,27.64,2.81,9.81,2.81,9.81,3.56,11.42,2.81,9.81,2.35,19.86,2.37,18.97,1.65,14.17,2.8,36.32
0.27,11.54,0.19,8.97,0.19,8.97,0.85,50.64,1.26,25.72,0.84,15.59,0.84,15.59,1.65,32.03,4.12,21.75,4.69,26.99,1.85,12.44,4.58,25.97,3.17,10.96,3.17,10.96,2.58,8.47,3.17,10.96,2.14,18.0,2.14,15.72,1.32,11.62,2.5,30.35
0.17,8.8,0.17,8.8,0.17,8.8,0.64,42.59,1.26,23.26,1.13,17.78,0.96,15.85,1.57,27.14,2.87,15.94,2.74,15.17,1.39,8.38,2.74,15.17,3.28,11.6,3.28,11.6,2.76,9.43,3.28,11.6,1.71,14.1,1.65,12.75,1.21,10.37,1.91,26.13
0.2,11.11,0.13,8.89,0.13,8.89,0.6,46.67,1.29,24.91,1.17,20.15,1.09,19.2,2.11,40.07,3.16,16.3,3.29,17.8,1.74,10.37,3.21,17.01,4.21,14.19,4.21,14.19,3.37,10.76,4.21,14.19,2.32,18.02,2.32,16.68,1.59,13.12,2.66,28.21
0.14,8.33,0.14,8.33,0.14,8.33,0.77,53.03,0.83,17.11,0.97,16.27,0.97,16.27,1.42,26.53,3.39,18.58,3.42,19.07,1.65,9.6,3.32,18.11,2.94,10.33,2.94,10.33,2.89,9.26,2.94,10.33,1.79,14.59,1.84,14.45,1.32,11.53,2.09,26.81
0.23,12.22,0.2,11.11,0.2,11.11,0.8,60.56,1.19,23.68,1.03,18.35,1.0,17.99,1.94,36.28,3.33,18.76,3.52,20.38,1.78,10.57,3.44,19.64,5.16,18.41,5.16,18.41,2.95,9.27,5.16,18.41,2.17,18.29,2.16,16.84,1.32,12.64,2.57,35.71
0.15,8.33,0.15,8.33,0.15,8.33,1.12,94.87,1.47,27.29,0.9,16.17,0.87,15.79,2.07,38.94,4.06,21.42,4.13,21.95,1.71,8.51,4.13,21.95,3.25,11.66,3.25,11.66,1.95,6.86,3.25,11.66,2.23,18.06,2.09,15.09,1.14,10.2,2.65,42.51
0.43,20.0,0.4,18.89,0.4,18.89,1.27,75.56,1.11,23.77,1.05,18.75,1.0,18.17,1.92,36.9,3.68,20.93,3.73,21.81,1.95,11.77,3.73,21.81,1.88,6.76,1.88,6.76,2.18,7.24,1.88,6.76,1.57,19.42,1.55,17.51,1.21,15.32,2.1,39.85
0.19,9.88,0.19,9.88,0.19,9.88,0.48,37.65,1.43,28.09,1.2,19.0,1.1,17.75,2.3,43.54,3.46,19.58,3.36,18.76,1.82,10.57,3.36,18.76,2.91,10.1,2.91,10.1,2.73,8.83,2.91,10.1,1.95,17.57,1.86,14.8,1.39,12.05,2.24,28.69
0.32,16.07,0.29,14.88,0.29,14.88,0.64,49.4,1.51,28.73,0.94,16.79,0.94,16.79,2.11,40.93,4.22,20.88,4.22,20.9,2.04,11.23,4.22,20.9,3.0,10.56,3.0,10.56,3.82,11.88,3.0,10.56,2.12,20.55,1.93,16.34,1.5,14.11,2.4,33.27
0.24,9.65,0.21,8.77,0.21,8.77,0.92,68.86,0.92,17.87,0.92,16.22,0.73,14.08,1.15,19.9,3.87,21.91,3.7,20.9,1.91,11.78,3.7,20.9,2.55,9.21,2.55,9.21,3.45,11.12,2.55,9.21,1.62,14.2,1.57,13.27,1.31,11.15,1.88,35.51
0.06,4.17,0.09,5.21,0.09,5.21,0.56,45.83,1.42,28.06,1.42,25.78,1.42,25.78,1.5,26.39,3.52,21.27,3.56,21.61,2.15,13.02,3.67,22.72,3.32,11.58,3.32,11.58,3.77,12.1,3.32,11.58,1.93,15.81,1.95,15.66,1.69,13.59,2.14,28.24
0.41,19.54,0.31,16.09,0.31,16.09,0.86,49.43,1.23,22.73,1.03,17.41,1.03,17.41,1.57,31.11,3.43,19.87,3.46,20.29,2.04,11.24,3.46,20.29,3.47,11.63,3.47,11.63,3.67,11.58,3.47,11.63,1.9,19.56,1.81,17.0,1.47,14.62,2.14,30.51
0.18,6.57,0.15,5.56,0.15,5.56,0.45,30.3,1.37,23.58,1.26,20.69,0.89,16.15,1.92,33.08,4.05,22.32,4.05,22.32,1.95,10.01,4.05,22.32,4.47,16.02,4.47,16.02,2.33,7.78,4.47,16.02,1.96,17.03,1.92,15.69,1.07,10.5,2.24,27.72
0.3,10.61,0.3,10.61,0.3,10.61,1.09,68.69,1.12,21.95,0.88,13.9,0.58,10.54,1.36,24.23,4.52,23.76,4.63,24.99,1.74,10.7,4.78,26.47,3.0,11.14,3.0,11.14,1.36,5.1,3.0,11.14,1.97,17.49,1.93,15.32,0.89,9.89,2.36,36.8
0.22,12.5,0.22,12.5,0.22,12.5,1.08,82.87,1.32,23.33,0.86,14.6,0.86,14.6,2.04,35.94,3.67,19.18,3.44,18.36,1.89,11.83,3.44,18.36,3.24,11.65,3.24,11.65,2.12,7.33,3.24,11.65,1.79,16.26,1.64,13.84,1.11,11.73,2.23,43.1
0.26,11.73,0.22,10.49,0.22,10.49,1.11,87.04,1.03,21.51,0.86,14.91,0.86,14.91,1.47,30.08,3.38,18.38,3.54,19.66,2.15,12.62,3.38,18.26,3.28,11.6,3.28,11.6,2.67,9.1,3.28,11.6,1.79,16.62,1.76,14.39,1.32,12.26,2.15,38.47
0.0,0.0,0.0,0.0,0.0,0.0,0.65,39.74,1.53,30.58,1.13,20.4,1.07,19.66,1.53,29.74,4.74,26.28,4.68,25.4,2.1,11.34,4.68,25.4,2.4,8.38,2.4,8.38,2.35,7.62,2.4,8.38,2.25,17.75,2.12,14.65,1.35,10.22,2.39,26.92
0.31,13.79,0.31,13.79,0.31,13.79,0.86,50.0,1.25,22.92,1.06,17.9,1.06,17.9,1.31,24.97,4.17,20.5,4.33,22.16,1.28,6.62,4.22,21.05,3.43,11.92,3.43,11.92,3.29,10.49,3.43,11.92,2.06,17.16,2.03,15.94,1.48,12.95,2.23,27.68
0.19,9.62,0.15,8.33,0.15,8.33,0.81,52.56,1.37,26.31,1.04,16.0,1.0,15.59,1.93,37.72,2.59,12.65,2.76,14.07,2.03,11.5,2.7,13.53,4.06,14.72,4.06,14.72,1.18,3.96,4.06,14.72,1.93,15.69,1.9,13.27,1.18,10.56,2.26,29.31
0.37,16.05,0.3,13.58,0.3,13.58,0.63,42.59,1.36,27.22,1.03,18.03,1.03,18.03,2.58,49.89,2.75,14.21,2.71,13.89,2.0,11.12,2.71,13.89,4.04,14.41,4.04,14.41,1.96,6.8,4.04,14.41,2.0,18.73,1.87,15.2,1.26,12.94,2.43,32.35
0.14,4.6,0.1,3.45,0.1,3.45,0.9,60.34,1.26,26.09,1.16,21.41,1.16,21.41,1.84,34.47,5.04,26.44,5.08,26.83,2.0,11.01,4.92,25.65,3.15,11.24,3.15,11.24,2.61,8.53,3.15,11.24,2.46,15.77,2.44,14.72,1.52,10.04,2.74,32.17
0.4,18.0,0.32,15.33,0.32,15.33,1.2,84.0,1.29,23.56,1.03,16.84,1.0,16.48,1.77,30.84,4.14,22.46,4.09,22.06,1.82,10.97,4.09,22.06,3.0,10.3,3.0,10.3,3.12,10.06,3.0,10.3,2.07,18.94,1.95,16.03,1.5,13.58,2.4,36.66
0.21,9.77,0.21,9.77,0.21,9.77,0.83,67.82,1.33,25.49,1.29,23.63,1.29,23.63,1.38,26.72,3.28,21.11,3.21,20.97,2.03,13.63,3.24,21.31,2.8,9.88,2.8,9.88,3.0,9.58,2.8,9.88,1.9,16.4,1.87,15.94,1.6,13.88,2.07,32.46
0.38,14.94,0.28,11.49,0.28,11.49,1.34,85.63,1.18,22.93,1.35,21.33,1.26,20.35,1.56,28.74,3.52,21.74,3.74,23.3,1.7,10.55,3.74,23.3,3.1,11.15,3.1,11.15,2.24,7.47,3.1,11.15,1.84,18.2,1.92,17.09,1.28,13.31,2.27,39.54
0.08,2.67,0.08,2.67,0.08,2.67,0.64,51.33,1.16,22.28,1.35,22.3,1.23,20.82,1.84,32.09,3.56,21.35,3.64,22.27,2.12,13.5,3.72,23.07,2.96,10.89,2.96,10.89,2.65,8.76,2.96,10.89,1.91,14.71,1.98,14.93,1.51,11.94,2.27,29.33
0.31,10.26,0.31,10.26,0.31,10.26,0.85,62.18,1.03,21.66,0.68,13.45,0.71,13.78,1.32,26.62,3.56,20.52,3.85,23.59,2.15,14.44,3.56,20.62,3.35,12.23,3.35,12.23,2.6,8.42,3.35,12.23,1.93,16.84,1.89,15.01,1.33,12.09,2.15,31.06
0.34,13.33,0.29,11.43,0.29,11.43,0.8,59.52,1.43,26.46,1.0,17.17,0.79,14.49,2.18,38.95,3.52,20.32,3.43,19.52,1.91,10.8,3.43,19.52,3.0,10.56,3.0,10.56,3.57,11.36,3.0,10.56,1.83,17.72,1.68,14.5,1.41,12.08,2.16,35.93
0.29,17.16,0.29,17.16,0.29,17.16,0.97,68.14,0.92,19.05,0.65,11.65,0.65,11.65,1.27,25.98,3.13,16.92,3.3,18.62,2.0,11.73,3.26,18.19,3.79,13.74,3.79,13.74,2.33,7.82,3.79,13.74,1.84,16.8,1.81,15.37,1.21,12.56,2.17,34.96
0.21,8.55,0.13,5.98,0.13,5.98,0.79,53.85,1.29,25.42,1.11,19.72,1.11,19.72,2.04,40.63,4.27,24.87,4.2,24.58,2.13,12.89,4.2,24.58,2.88,10.35,2.88,10.35,2.64,8.52,2.88,10.35,1.68,15.67,1.6,13.2,1.25,11.14,2.08,36.12
0.52,23.81,0.38,19.05,0.38,19.05,1.24,66.67,1.32,22.64,1.09,16.99,0.82,13.96,2.14,35.1,3.81,20.65,3.81,20.78,1.7,9.66,3.81,20.78,3.44,12.08,3.44,12.08,2.67,8.67,3.44,12.08,2.56,19.52,2.49,17.46,1.5,12.14,2.87,30.53
0.3,12.78,0.3,12.78,0.3,12.78,0.9,63.33,1.13,20.06,0.83,14.13,0.7,12.68,1.26,21.08,4.0,21.96,4.2,23.78,1.92,11.06,4.12,22.98,2.93,10.68,2.93,10.68,2.24,7.64,2.93,10.68,2.06,15.92,2.04,15.07,1.29,10.96,2.28,30.55
0.15,5.56,0.15,5.56,0.15,5.56,0.61,39.39,1.43,26.51,1.3,21.26,1.17,19.81,2.26,41.63,3.71,23.22,3.54,22.24,1.79,11.47,3.58,22.62,2.93,10.37,2.93,10.37,2.74,8.93,2.93,10.37,1.93,15.24,1.86,13.89,1.39,10.8,2.21,28.79
0.28,13.89,0.28,13.89,0.28,13.89,0.61,50.93,1.12,22.03,1.06,19.07,1.0,18.4,1.76,35.93,4.3,24.36,4.18,23.38,2.06,11.32,4.18,23.38,3.0,10.72,3.0,10.72,2.39,8.22,3.0,10.72,2.36,18.95,2.31,17.73,1.5,13.27,2.58,29.16
0.36,15.48,0.32,14.29,0.32,14.29,0.57,29.17,1.21,21.31,1.32,21.98,1.29,21.65,2.38,42.17,3.81,21.16,3.73,20.64,2.08,11.8,3.73,20.64,3.05,10.53,3.05,10.53,4.68,14.83,3.05,10.53,1.94,17.83,1.95,17.61,1.83,16.12,2.36,27.92
0.33,20.56,0.3,19.44,0.3,19.44,0.97,69.44,1.43,27.35,1.2,20.76,1.1,19.55,1.17,22.65,3.56,20.12,3.69,21.43,2.19,13.1,3.66,21.11,3.13,11.44,3.13,11.44,1.8,6.55,3.13,11.44,2.0,21.05,1.96,19.28,1.3,15.77,2.13,33.74
0.23,8.06,0.26,9.14,0.26,9.14,0.94,56.45,1.12,20.92,1.06,18.03,0.68,13.79,1.5,26.3,4.36,23.91,4.21,23.15,1.93,11.12,4.25,23.45,3.86,13.02,3.86,13.02,2.57,8.36,3.86,13.02,2.07,16.94,2.02,16.14,1.13,11.03,2.36,32.55
0.23,9.23,0.18,7.44,0.18,7.44,0.91,57.14,1.24,22.65,1.19,20.7,1.1,19.64,1.62,29.32,3.34,18.47,3.5,19.81,2.13,12.04,3.5,19.81,3.22,10.98,3.22,10.98,3.0,9.88,3.22,10.98,1.9,14.62,1.9,13.91,1.54,11.79,2.22,30.82
